username,password,email
pfaffmann,ec91dba53f3b05c95d7e27cb5e5ce088e05ca224b5d46616995c670b8e824623f5833398ed13297487939b455fb8fac54898b03211ddc742a01c01f4cfb86c54,pfaffmann@example.com
malo,ec91dba53f3b05c95d7e27cb5e5ce088e05ca224b5d46616995c670b8e824623f5833398ed13297487939b455fb8fac54898b03211ddc742a01c01f4cfb86c54,vasum@lafayette.edu
lekso,ec91dba53f3b05c95d7e27cb5e5ce088e05ca224b5d46616995c670b8e824623f5833398ed13297487939b455fb8fac54898b03211ddc742a01c01f4cfb86c54,borashvl@lafayette.edu
peter,ec91dba53f3b05c95d7e27cb5e5ce088e05ca224b5d46616995c670b8e824623f5833398ed13297487939b455fb8fac54898b03211ddc742a01c01f4cfb86c54,lih@lafayette.edu
sena,ec91dba53f3b05c95d7e27cb5e5ce088e05ca224b5d46616995c670b8e824623f5833398ed13297487939b455fb8fac54898b03211ddc742a01c01f4cfb86c54,yevenyos@lafayette.edu
sandraharris,ec91dba53f3b05c95d7e27cb5e5ce088e05ca224b5d46616995c670b8e824623f5833398ed13297487939b455fb8fac54898b03211ddc742a01c01f4cfb86c54,mary84@yahoo.com
jeffreylucas,ec91dba53f3b05c95d7e27cb5e5ce088e05ca224b5d46616995c670b8e824623f5833398ed13297487939b455fb8fac54898b03211ddc742a01c01f4cfb86c54,imoore@yahoo.com
karla07,ec91dba53f3b05c95d7e27cb5e5ce088e05ca224b5d46616995c670b8e824623f5833398ed13297487939b455fb8fac54898b03211ddc742a01c01f4cfb86c54,yramirez@gmail.com
johnwilliams,ec91dba53f3b05c95d7e27cb5e5ce088e05ca224b5d46616995c670b8e824623f5833398ed13297487939b455fb8fac54898b03211ddc742a01c01f4cfb86c54,nicholas11@hotmail.com
amyhernandez,ec91dba53f3b05c95d7e27cb5e5ce088e05ca224b5d46616995c670b8e824623f5833398ed13297487939b455fb8fac54898b03211ddc742a01c01f4cfb86c54,nancy89@hotmail.com
eprice,ec91dba53f3b05c95d7e27cb5e5ce088e05ca224b5d46616995c670b8e824623f5833398ed13297487939b455fb8fac54898b03211ddc742a01c01f4cfb86c54,johnsonrobert@yahoo.com
meyerashley,ec91dba53f3b05c95d7e27cb5e5ce088e05ca224b5d46616995c670b8e824623f5833398ed13297487939b455fb8fac54898b03211ddc742a01c01f4cfb86c54,bnavarro@yahoo.com
walkerwilliam,ec91dba53f3b05c95d7e27cb5e5ce088e05ca224b5d46616995c670b8e824623f5833398ed13297487939b455fb8fac54898b03211ddc742a01c01f4cfb86c54,wallacemike@hotmail.com
james10,ec91dba53f3b05c95d7e27cb5e5ce088e05ca224b5d46616995c670b8e824623f5833398ed13297487939b455fb8fac54898b03211ddc742a01c01f4cfb86c54,pfrench@yahoo.com
dtaylor,ec91dba53f3b05c95d7e27cb5e5ce088e05ca224b5d46616995c670b8e824623f5833398ed13297487939b455fb8fac54898b03211ddc742a01c01f4cfb86c54,tonyasimmons@yahoo.com
